"tp","cl","ph","redox","leit","trueb","cl_2","fm","fm_2","event"
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1821,1057,1
6.7,0.16,8.50733536034794,729.280805155332,211,0.0263949578743681,0.113,1821,1055,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1822,1061,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0253949578743681,0.111,1836,1061,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0243949578743681,0.113,1799,1065,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0243949578743681,0.114,1793,1063,1
6.8,0.16,8.50733536034794,730.280805155332,211,0.0243949578743681,0.113,1795,1060,1
6.7,0.16,8.49733536034794,730.280805155332,211,0.0243949578743681,0.113,1795,1059,1
6.8,0.16,8.31,754,211,0.017,0.114,1795,1063,0
6.8,0.16,8.31,754,211,0.017,0.114,1811,1063,0
6.8,0.17,8.31,754,211,0.018,0.114,1800,1063,0
6.8,0.17,8.3,754,211,0.017,0.114,1810,1060,0
6.8,0.17,8.3,754,211,0.017,0.113,1799,1063,0
6.8,0.17,8.3,755,211,0.017,0.113,1833,1059,0
6.8,0.17,8.3,754,211,0.017,0.114,1833,1067,0
6.8,0.17,8.3,754,211,0.018,0.111,1799,1061,0
6.8,0.17,8.3,754,211,0.018,0.114,1766,1070,0
6.8,0.16,8.3,754,211,0.018,0.114,1807,1069,0
6.8,0.16,8.3,754,211,0.018,0.113,1848,1064,0
6.8,0.16,8.3,754,211,0.018,0.111,1805,1061,0
6.8,0.16,8.3,754,211,0.021,0.111,1781,1057,0
6.8,0.16,8.3,754,211,0.018,0.113,1828,1065,0
6.8,0.16,8.3,754,211,0.019,0.111,1778,1057,0
6.8,0.16,8.29,754,211,0.018,0.111,1792,1057,0
6.7,0.16,8.29,754,211,0.018,0.111,1790,1059,0
6.8,0.16,8.29,754,211,0.018,0.111,1805,1070,0
6.8,0.16,8.3,754,211,0.018,0.11,1789,1059,0
6.8,0.16,8.29,754,211,0.018,0.11,1807,1061,0
6.9,0.16,8.29,755,211,0.018,0.11,1813,1064,0
6.8,0.16,8.29,754,211,0.018,0.111,1776,1063,0
6.9,0.16,8.28,753,211,0.018,0.111,1782,1060,0
6.9,0.16,8.28,754,211,0.018,0.111,1847,1064,0
6.8,0.15,8.28,754,211,0.023,0.11,1758,1061,0
6.8,0.16,8.28,754,211,0.018,0.111,1770,1055,0
6.9,0.16,8.28,754,211,0.022,0.11,1796,1057,0
6.8,0.15,8.28,754,211,0.018,0.11,1777,1057,0
6.8,0.15,8.28,754,211,0.018,0.11,1796,1059,0
6.8,0.16,8.28,754,211,0.017,0.109,1790,1064,0
6.8,0.16,8.28,754,211,0.017,0.11,1783,1060,0
6.8,0.16,8.28,754,211,0.017,0.11,1784,1061,0
6.9,0.16,8.28,754,211,0.017,0.11,1802,1060,0
6.9,0.16,8.28,754,211,0.017,0.11,1784,1060,0
6.8,0.16,8.28,754,211,0.017,0.11,1773,1067,0
6.8,0.16,8.28,754,211,0.017,0.11,1800,1060,0
6.9,0.16,8.28,754,211,0.017,0.111,1767,1063,0
6.8,0.16,8.29,754,211,0.017,0.11,1805,1060,0
6.9,0.16,8.28,754,211,0.017,0.11,1770,1057,0
6.8,0.17,8.28,754,211,0.016,0.11,1767,1057,0
6.8,0.16,8.29,754,211,0.017,0.11,1777,1060,0
6.8,0.17,8.29,754,211,0.017,0.109,1754,1057,0
6.9,0.17,8.29,754,211,0.016,0.11,1668,1057,0
6.9,0.17,8.29,754,211,0.016,0.11,1591,1053,0
6.9,0.17,8.3,754,211,0.018,0.11,1608,1055,0
6.9,0.17,8.3,754,211,0.016,0.109,1616,1061,0
6.9,0.17,8.31,754,211,0.017,0.11,1609,1059,0
6.8,0.17,8.3,753,211,0.02,0.109,1648,1059,0
6.8,0.17,8.3,754,211,0.016,0.108,1605,1055,0
6.9,0.16,8.3,753,211,0.017,0.109,1604,1059,0
6.8,0.16,8.3,754,211,0.017,0.108,1608,1060,0
6.9,0.16,8.3,754,211,0.016,0.108,1575,1065,0
6.8,0.16,8.3,754,211,0.016,0.108,1611,1053,0
6.8,0.16,8.3,753,211,0.016,0.106,1621,1054,0
6.9,0.16,8.3,754,211,0.016,0.108,1640,1054,0
6.9,0.16,8.3,753,211,0.016,0.108,1616,1052,0
6.9,0.16,8.3,754,211,0.016,0.106,1621,1054,0
6.8,0.16,8.3,753,211,0.016,0.108,1620,1054,0
6.9,0.16,8.3,753,211,0.016,0.108,1605,1057,0
6.9,0.16,8.3,753,211,0.016,0.106,1648,1061,0
6.9,0.16,8.3,753,211,0.016,0.106,1608,1048,0
6.9,0.16,8.3,753,211,0.016,0.106,1630,1049,0
6.8,0.16,8.3,753,211,0.016,0.106,1638,1053,0
6.9,0.16,8.3,753,211,0.016,0.106,1619,1060,0
6.9,0.16,8.3,754,211,0.016,0.106,1648,1053,0
6.9,0.16,8.31,753,211,0.016,0.106,1597,1053,0
6.9,0.16,8.31,753,211,0.016,0.106,1597,1055,0
6.9,0.16,8.31,753,211,0.016,0.108,1603,1057,0
6.9,0.16,8.31,753,211,0.016,0.106,1608,1054,0
6.9,0.16,8.31,752,211,0.016,0.108,1596,1055,0
6.9,0.17,8.31,753,211,0.017,0.106,1604,1053,0
6.9,0.16,8.31,752,211,0.017,0.106,1614,1052,0
6.9,0.17,8.32,753,211,0.016,0.106,1607,1063,0
6.9,0.17,8.32,752,211,0.016,0.106,1574,1053,0
6.9,0.17,8.32,752,211,0.016,0.106,1604,1052,0
6.9,0.17,8.33,752,211,0.016,0.106,1627,1054,0
6.9,0.17,8.33,751,211,0.019,0.106,1596,1053,0
6.9,0.17,8.33,752,211,0.016,0.106,1648,1060,0
6.9,0.17,8.33,752,211,0.016,0.106,1611,1063,0
6.9,0.17,8.34,752,211,0.016,0.106,1584,1060,0
6.9,0.17,8.34,752,211,0.016,0.106,1622,1054,0
6.9,0.17,8.34,752,211,0.016,0.106,1597,1053,0
6.9,0.17,8.34,752,211,0.016,0.106,1607,1054,0
6.9,0.17,8.34,752,211,0.016,0.105,1607,1053,0
6.9,0.17,8.35,751,211,0.016,0.106,1607,1055,0
6.9,0.17,8.35,751,211,0.016,0.105,1587,1059,0
6.9,0.17,8.34,751,211,0.016,0.105,1581,1057,0
6.9,0.17,8.35,751,211,0.016,0.104,1609,1055,0
6.9,0.17,8.35,751,207,0.016,0.105,1601,1063,0
6.9,0.17,8.35,751,207,0.016,0.105,1592,1049,0
6.9,0.17,8.34,752,207,0.016,0.104,1609,1060,0
6.9,0.17,8.34,751,207,0.016,0.105,1585,1049,0
6.9,0.17,8.34,752,207,0.016,0.104,1593,1054,0
6.9,0.17,8.35,751,207,0.016,0.104,1630,1053,0
6.9,0.17,8.34,751,207,0.016,0.105,1568,1057,0
6.9,0.16,8.34,751,207,0.016,0.105,1599,1063,0
6.9,0.16,8.34,751,207,0.016,0.104,1604,1060,0
6.9,0.16,8.34,751,207,0.016,0.104,1605,1055,0
6.9,0.16,8.34,752,207,0.016,0.105,1607,1048,0
6.9,0.17,8.34,752,207,0.016,0.105,1556,1055,0
6.9,0.17,8.34,752,207,0.016,0.105,1576,1054,0
6.9,0.17,8.33,752,207,0.016,0.105,1590,1057,0
7,0.17,8.33,752,211,0.016,0.105,1609,1054,0
6.9,0.17,8.33,751,211,0.016,0.105,1627,1060,0
6.9,0.16,8.33,751,211,0.015,0.106,1609,1053,0
6.9,0.17,8.33,752,211,0.016,0.106,1609,1053,0
6.9,0.17,8.33,752,207,0.016,0.106,1631,1048,0
6.9,0.17,8.33,752,211,0.016,0.106,1604,1053,0
6.9,0.17,8.33,752,211,0.016,0.106,1603,1049,0
6.9,0.17,8.32,751,211,0.016,0.106,1627,1054,0
6.9,0.17,8.32,752,211,0.016,0.106,1586,1053,0
6.9,0.17,8.32,751,211,0.016,0.106,1584,1053,0
6.9,0.17,8.32,753,211,0.016,0.106,1598,1047,0
6.9,0.17,8.32,752,211,0.016,0.108,1591,1055,0
6.9,0.17,8.32,752,211,0.016,0.106,1598,1048,0
6.9,0.17,8.32,753,211,0.017,0.108,1608,1054,0
6.9,0.18,8.32,753,211,0.024,0.108,1592,1049,0
6.9,0.18,8.32,753,211,0.015,0.106,1607,1055,0
6.9,0.17,8.32,751,211,0.016,0.106,1608,1055,0
6.9,0.17,8.32,751,211,0.016,0.108,1608,1052,0
6.9,0.17,8.32,752,211,0.016,0.106,1614,1048,0
6.9,0.17,8.32,751,211,0.015,0.106,1636,1054,0
6.9,0.17,8.32,752,211,0.015,0.106,1634,1055,0
6.9,0.17,8.32,752,211,0.015,0.106,1576,1053,0
6.9,0.17,8.33,753,207,0.015,0.106,1630,1060,0
6.9,0.17,8.34,751,211,0.015,0.106,1570,1054,0
6.9,0.17,8.34,752,207,0.016,0.106,1592,1055,0
6.9,0.17,8.34,751,211,0.015,0.106,1622,1059,0
6.9,0.17,8.34,751,211,0.017,0.106,1579,1059,0
6.9,0.17,8.34,751,207,0.016,0.106,1590,1055,0
6.9,0.17,8.34,751,207,0.016,0.105,1592,1055,0
6.9,0.17,8.35,751,207,0.016,0.105,1619,1052,0
6.9,0.17,8.36,751,211,0.015,0.105,1569,1055,0
6.9,0.17,8.37,751,211,0.016,0.106,1592,1054,0
6.9,0.16,8.37,751,211,0.016,0.106,1598,1047,0
6.9,0.17,8.38,751,211,0.015,0.105,1591,1055,0
6.9,0.16,8.39,751,211,0.015,0.106,1576,1052,0
6.9,0.16,8.38,751,211,0.016,0.106,1584,1055,0
6.9,0.17,8.39,751,211,0.016,0.105,1593,1060,0
6.9,0.17,8.39,751,211,0.016,0.106,1605,1054,0
6.9,0.17,8.39,751,211,0.015,0.106,1613,1054,0
6.9,0.17,8.39,751,211,0.015,0.106,1619,1053,0
6.9,0.17,8.39,751,211,0.015,0.106,1590,1055,0
6.9,0.17,8.39,751,211,0.015,0.106,1668,1049,0
6.9,0.17,8.39,751,211,0.015,0.106,1557,1054,0
6.9,0.17,8.39,751,210,0.016,0.106,1593,1054,0
6.9,0.17,8.39,751,211,0.015,0.108,1587,1049,0
6.9,0.17,8.39,751,211,0.015,0.108,1615,1049,0
6.9,0.17,8.39,751,211,0.016,0.106,1611,1054,0
6.9,0.17,8.39,751,211,0.016,0.108,1611,1048,0
6.9,0.17,8.39,751,211,0.016,0.108,1605,1052,0
6.9,0.17,8.38,751,210,0.027,0.109,1597,1054,0
6.9,0.17,8.38,752,210,0.021,0.109,1591,1054,0
6.9,0.17,8.38,751,211,0.021,0.11,1584,1052,0
6.9,0.18,8.38,752,211,0.023,0.11,1619,1049,0
6.9,0.17,8.37,752,211,0.02,0.11,1601,1043,0
6.9,0.17,8.37,752,210,0.02,0.109,1608,1048,0
6.9,0.17,8.36,752,210,0.021,0.11,1604,1052,0
6.9,0.17,8.36,752,210,0.02,0.109,1598,1049,0
6.9,0.17,8.36,752,211,0.02,0.11,1601,1055,0
6.9,0.17,8.35,753,211,0.022,0.11,1621,1049,0
6.9,0.17,8.35,752,210,0.021,0.11,1596,1043,0
6.9,0.17,8.35,752,210,0.02,0.111,1601,1052,0
6.9,0.17,8.34,753,210,0.02,0.11,1574,1060,0
6.9,0.17,8.33,753,210,0.02,0.11,1608,1059,0
6.9,0.17,8.33,754,210,0.02,0.111,1593,1052,0
6.9,0.17,8.32,754,210,0.02,0.11,1598,1048,0
6.9,0.17,8.32,753,211,0.021,0.11,1598,1054,0
6.9,0.17,8.32,753,210,0.021,0.11,1596,1055,0
6.9,0.17,8.31,753,211,0.021,0.111,1597,1055,0
6.9,0.17,8.31,753,210,0.02,0.111,1609,1053,0
6.9,0.17,8.31,753,210,0.02,0.111,1596,1055,0
6.9,0.17,8.31,754,211,0.02,0.113,1569,1057,0
6.9,0.17,8.31,754,210,0.02,0.113,1579,1048,0
6.9,0.17,8.3,752,207,0.02,0.113,1591,1054,0
6.9,0.17,8.3,754,210,0.021,0.111,1584,1059,0
6.9,0.17,8.31,754,210,0.021,0.113,1586,1054,0
6.9,0.17,8.3,754,210,0.02,0.114,1569,1055,0
6.9,0.17,8.3,754,211,0.021,0.114,1586,1053,0
6.9,0.17,8.3,754,211,0.02,0.114,1601,1052,0
6.9,0.17,8.3,754,211,0.02,0.114,1621,1047,0
6.9,0.18,8.3,754,211,0.034,0.113,1598,1049,0
6.9,0.18,8.3,754,210,0.023,0.113,1607,1053,0
6.9,0.18,8.3,754,211,0.02,0.114,1590,1046,0
6.9,0.18,8.3,753,210,0.023,0.114,1574,1041,0
6.9,0.17,8.3,754,211,0.021,0.114,1590,1049,0
6.9,0.17,8.3,754,211,0.021,0.114,1561,1054,0
6.9,0.17,8.29,754,210,0.023,0.114,1587,1052,0
6.9,0.17,8.29,755,211,0.02,0.114,1598,1054,0
6.9,0.17,8.29,754,210,0.02,0.114,1604,1048,0
6.9,0.17,8.29,754,211,0.02,0.114,1608,1049,0
6.9,0.16,8.29,754,211,0.021,0.114,1587,1053,0
6.9,0.16,8.29,754,211,0.02,0.114,1559,1053,0
6.9,0.16,8.28,754,211,0.02,0.114,1578,1040,0
6.9,0.16,8.28,753,211,0.02,0.114,1596,1049,0
6.9,0.16,8.28,754,211,0.02,0.114,1586,1042,0
6.9,0.16,8.28,754,207,0.02,0.114,1608,1047,0
6.9,0.16,8.28,755,210,0.021,0.114,1643,1047,0
6.8,0.17,8.28,754,207,0.021,0.114,1585,1052,0
6.9,0.16,8.28,755,207,0.021,0.114,1611,1048,0
6.9,0.16,8.28,755,207,0.021,0.114,1609,1046,0
6.9,0.16,8.28,754,207,0.021,0.114,1576,1042,0
6.9,0.16,8.28,754,207,0.024,0.114,1628,1049,0
6.9,0.16,8.28,755,207,0.021,0.113,1614,1046,0
6.9,0.16,8.28,754,207,0.02,0.114,1576,1047,0
6.9,0.16,8.28,754,207,0.021,0.114,1599,1048,0
6.9,0.16,8.28,754,207,0.022,0.114,1593,1043,0
6.9,0.16,8.28,755,207,0.023,0.114,1603,1049,0
6.9,0.16,8.28,754,207,0.027,0.114,1592,1043,0
6.9,0.16,8.28,754,207,0.021,0.114,1627,1046,0
6.9,0.16,8.28,754,207,0.021,0.114,1590,1043,0
6.9,0.16,8.28,754,207,0.021,0.114,1626,1047,0
6.9,0.16,8.29,754,207,0.022,0.114,1598,1046,0
6.9,0.17,8.29,754,207,0.021,0.114,1626,1049,0
6.9,0.17,8.3,754,207,0.022,0.114,1622,1047,0
6.9,0.17,8.3,754,207,0.024,0.114,1607,1048,0
6.9,0.17,8.3,755,207,0.024,0.114,1605,1053,0
6.9,0.17,8.3,754,207,0.023,0.114,1644,1052,0
6.9,0.17,8.3,753,210,0.022,0.114,1614,1042,0
6.9,0.17,8.3,754,207,0.021,0.114,1619,1043,0
6.9,0.17,8.3,754,207,0.021,0.114,1587,1057,0
6.9,0.17,8.3,754,207,0.021,0.114,1598,1053,0
6.9,0.17,8.3,754,207,0.021,0.114,1608,1046,0
6.9,0.17,8.3,755,210,0.021,0.114,1587,1049,0
6.9,0.17,8.3,754,211,0.021,0.114,1651,1046,0
6.9,0.17,8.3,754,210,0.023,0.114,1645,1052,0
6.9,0.17,8.3,754,211,0.022,0.114,1644,1046,0
6.9,0.17,8.3,754,211,0.021,0.114,1672,1043,0
6.9,0.17,8.3,754,207,0.021,0.114,1667,1042,0
6.9,0.16,8.29,754,211,0.021,0.114,1671,1049,0
6.9,0.16,8.29,754,211,0.021,0.114,1650,1049,0
6.9,0.16,8.29,755,207,0.021,0.113,1666,1049,0
6.9,0.16,8.29,754,211,0.021,0.114,1645,1041,0
6.9,0.16,8.29,754,211,0.021,0.114,1633,1047,0
6.9,0.16,8.28,754,211,0.021,0.113,1648,1048,0
6.9,0.16,8.28,754,211,0.021,0.114,1615,1052,0
6.9,0.16,8.28,754,210,0.021,0.114,1634,1053,0
6.9,0.16,8.28,754,211,0.022,0.114,1599,1053,0
6.9,0.16,8.28,754,211,0.029,0.114,1596,1047,0
6.9,0.16,8.28,754,211,0.021,0.114,1593,1047,0
6.9,0.16,8.28,754,211,0.022,0.114,1593,1047,0
6.9,0.16,8.28,754,211,0.021,0.114,1601,1043,0
6.9,0.16,8.28,754,211,0.021,0.114,1592,1042,0
6.9,0.16,8.28,754,210,0.021,0.114,1613,1049,0
6.9,0.16,8.28,755,211,0.021,0.114,1619,1047,0
6.9,0.16,8.28,755,211,0.021,0.114,1622,1047,0
6.9,0.16,8.28,755,211,0.023,0.114,1604,1052,0
6.9,0.16,8.28,754,211,0.022,0.114,1608,1042,0
6.9,0.16,8.28,754,211,0.024,0.114,1598,1053,0
6.9,0.17,8.28,754,211,0.023,0.116,1631,1052,0
6.9,0.17,8.28,754,211,0.021,0.114,1625,1053,0
6.9,0.17,8.28,754,211,0.021,0.114,1625,1047,0
6.9,0.17,8.28,754,211,0.022,0.114,1643,1042,0
6.9,0.17,8.29,754,211,0.021,0.114,1628,1042,0
6.9,0.17,8.28,754,211,0.021,0.114,1619,1048,0
6.9,0.17,8.29,754,211,0.021,0.114,1615,1053,0
6.9,0.16,8.29,754,211,0.022,0.114,1615,1054,0
6.9,0.16,8.3,754,211,0.022,0.114,1619,1054,0
6.9,0.16,8.3,754,211,0.021,0.114,1659,1049,0
6.9,0.16,8.3,754,211,0.021,0.113,1638,1048,0
6.9,0.16,8.3,754,211,0.022,0.114,1619,1041,0
6.9,0.16,8.31,754,211,0.024,0.114,1643,1040,0
6.9,0.16,8.31,754,211,0.022,0.113,1630,1040,0
6.9,0.16,8.32,754,211,0.021,0.113,1637,1046,0
6.9,0.16,8.32,754,211,0.021,0.113,1616,1047,0
6.9,0.16,8.33,754,211,0.021,0.113,1605,1043,0
6.9,0.16,8.33,753,211,0.021,0.113,1697,1049,0
6.9,0.16,8.34,753,211,0.021,0.11,1726,1047,0
6.9,0.16,8.34,754,211,0.024,0.111,1689,1043,0
6.9,0.16,8.35,753,211,0.025,0.111,1688,1049,0
6.9,0.16,8.35,753,210,0.022,0.111,1685,1047,0
6.9,0.16,8.35,754,210,0.021,0.111,1709,1047,0
6.9,0.16,8.35,753,210,0.021,0.113,1707,1043,0
6.9,0.16,8.36,753,211,0.022,0.111,1719,1048,0
6.9,0.16,8.36,753,211,0.023,0.113,1688,1053,0
6.9,0.16,8.37,752,211,0.022,0.111,1725,1046,0
6.9,0.16,8.37,753,211,0.021,0.111,1685,1047,0
6.9,0.16,8.37,753,211,0.024,0.111,1697,1046,0
6.9,0.16,8.37,754,210,0.022,0.113,1666,1047,0
6.9,0.16,8.37,753,211,0.021,0.111,1721,1053,0
6.9,0.16,8.37,753,211,0.021,0.111,1660,1047,0
6.9,0.16,8.37,753,210,0.021,0.113,1682,1049,0
6.9,0.16,8.37,754,211,0.021,0.11,1660,1053,0
6.9,0.16,8.37,754,211,0.022,0.11,1644,1052,0
6.9,0.16,8.37,752,211,0.022,0.11,1650,1048,0
7,0.16,8.37,753,210,0.025,0.11,1633,1048,0
6.9,0.16,8.37,753,210,0.023,0.111,1649,1047,0
7,0.16,8.37,753,210,0.022,0.111,1633,1054,0
7,0.16,8.37,752,210,0.021,0.111,1662,1055,0
7,0.16,8.38,753,211,0.022,0.11,1665,1054,0
7,0.16,8.37,754,211,0.022,0.111,1665,1049,0
7,0.16,8.36,753,210,0.023,0.111,1660,1048,0
7,0.16,8.37,753,211,0.023,0.111,1666,1048,0
7,0.16,8.37,754,211,0.024,0.11,1648,1047,0
7,0.16,8.36,753,211,0.023,0.111,1616,1046,0
7,0.16,8.36,754,210,0.023,0.11,1645,1054,0
7,0.16,8.36,754,210,0.022,0.111,1678,1057,0
7,0.16,8.35,754,210,0.022,0.11,1653,1055,0
7,0.16,8.35,754,211,0.022,0.11,1648,1055,0
7,0.16,8.35,754,210,0.023,0.11,1630,1043,0
7,0.16,8.35,754,210,0.024,0.11,1653,1046,0
7,0.16,8.34,752,210,0.023,0.11,1660,1049,0
7,0.16,8.34,753,210,0.023,0.11,1620,1047,0
7,0.16,8.34,754,210,0.022,0.11,1651,1048,0
7,0.16,8.53733536034794,729.280805155332,210,0.0293949578743681,0.11,1666,1048,1
7,0.16,8.53733536034794,730.280805155332,210,0.0293949578743681,0.11,1682,1053,1
7,0.16,8.53733536034794,729.280805155332,211,0.0293949578743681,0.11,1656,1048,1
7,0.16,8.53733536034794,729.280805155332,210,0.0293949578743681,0.11,1630,1047,1
7,0.16,8.53733536034794,729.280805155332,210,0.0303949578743681,0.11,1643,1042,1
7,0.16,8.53733536034794,729.280805155332,211,0.0303949578743681,0.11,1668,1048,1
7,0.16,8.53733536034794,728.280805155332,210,0.0303949578743681,0.11,1666,1055,1
7,0.16,8.53733536034794,730.280805155332,210,0.0303949578743681,0.11,1656,1048,1
7,0.16,8.53733536034794,729.280805155332,211,0.0303949578743681,0.11,1671,1053,1
7,0.16,8.53733536034794,730.280805155332,210,0.0303949578743681,0.11,1628,1055,1
7,0.16,8.53733536034794,729.280805155332,210,0.0303949578743681,0.11,1721,1063,1
6.9,0.16,8.53733536034794,729.280805155332,210,0.0303949578743681,0.11,1657,1053,1
6.9,0.16,8.53733536034794,729.280805155332,210,0.0303949578743681,0.11,1709,1048,1
6.9,0.16,8.53733536034794,728.280805155332,210,0.0303949578743681,0.11,1667,1048,1
7,0.16,8.53733536034794,729.280805155332,211,0.0303949578743681,0.11,1711,1052,1
7,0.16,8.53733536034794,730.280805155332,210,0.0333949578743681,0.11,1689,1049,1
6.9,0.16,8.53733536034794,729.280805155332,210,0.0303949578743681,0.11,1689,1049,1
6.9,0.16,8.54733536034794,729.280805155332,210,0.0303949578743681,0.11,1696,1053,1
6.9,0.16,8.35,753,210,0.025,0.11,1717,1046,0
6.9,0.16,8.34,753,210,0.023,0.11,1656,1046,0
6.9,0.16,8.35,753,210,0.024,0.11,1711,1046,0
6.9,0.16,8.35,753,210,0.022,0.11,1666,1047,0
6.9,0.16,8.35,753,211,0.023,0.11,1637,1048,0
6.9,0.16,8.35,753,210,0.024,0.11,1648,1047,0
6.9,0.16,8.35,754,210,0.022,0.11,1686,1046,0
6.9,0.16,8.35,753,210,0.023,0.11,1650,1046,0
6.9,0.16,8.35,753,210,0.023,0.11,1685,1046,0
6.9,0.16,8.35,754,210,0.023,0.11,1627,1049,0
6.9,0.16,8.35,754,210,0.022,0.11,1667,1054,0
6.9,0.16,8.35,754,210,0.022,0.109,1685,1052,0
6.9,0.16,8.34,752,210,0.023,0.109,1684,1048,0
6.9,0.16,8.35,753,210,0.023,0.109,1729,1055,0
6.9,0.16,8.35,753,210,0.022,0.109,1694,1057,0
6.9,0.16,8.35,753,210,0.022,0.109,1673,1054,0
6.9,0.16,8.35,753,210,0.023,0.108,1689,1052,0
6.9,0.16,8.35,752,210,0.025,0.11,1682,1049,0
6.9,0.16,8.35,753,210,0.023,0.109,1684,1048,0
6.9,0.16,8.35,753,210,0.026,0.109,1715,1053,0
6.9,0.16,8.35,753,211,0.023,0.108,1672,1047,0
6.9,0.16,8.35,753,210,0.023,0.109,1703,1046,0
6.9,0.16,8.35,752,210,0.025,0.109,1706,1053,0
6.9,0.16,8.35,753,210,0.023,0.109,1694,1053,0
6.9,0.16,8.35,752,210,0.023,0.109,1717,1048,0
6.9,0.16,8.36,752,210,0.023,0.108,1729,1054,0
6.9,0.16,8.36,752,210,0.023,0.109,1732,1052,0
6.9,0.16,8.36,752,210,0.024,0.109,1700,1047,0
