"","Time","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"16624",2016-08-14 19:52:00,6.9,0.16,8.3,754,211,0.016,0.108,1575,1065,FALSE
"16625",2016-08-14 19:53:00,6.8,0.16,8.3,754,211,0.016,0.108,1611,1053,FALSE
"16626",2016-08-14 19:54:00,6.8,0.16,8.3,753,211,0.016,0.106,1621,1054,FALSE
"16627",2016-08-14 19:55:00,6.9,0.16,8.3,754,211,0.016,0.108,1640,1054,FALSE
"16628",2016-08-14 19:56:00,6.9,0.16,8.3,753,211,0.016,0.108,1616,1052,FALSE
"16629",2016-08-14 19:57:00,6.9,0.16,8.3,754,211,0.016,0.106,1621,1054,FALSE
"16630",2016-08-14 19:58:00,6.8,0.16,8.3,753,211,0.016,0.108,1620,1054,FALSE
"16631",2016-08-14 19:59:00,6.9,0.16,8.3,753,211,0.016,0.108,1605,1057,FALSE
"16632",2016-08-14 20:00:00,6.9,0.16,8.3,753,211,0.016,0.106,1648,1061,FALSE
"16633",2016-08-14 20:01:00,6.9,0.16,8.3,753,211,0.016,0.106,1608,1048,FALSE
"16634",2016-08-14 20:02:00,6.9,0.16,8.3,753,211,0.016,0.106,1630,1049,FALSE
"16635",2016-08-14 20:03:00,6.8,0.16,8.3,753,211,0.016,0.106,1638,1053,FALSE
"16636",2016-08-14 20:04:00,6.9,0.16,8.3,753,211,0.016,0.106,1619,1060,FALSE
"16637",2016-08-14 20:05:00,6.9,0.16,8.3,754,211,0.016,0.106,1648,1053,FALSE
"16638",2016-08-14 20:06:00,6.9,0.16,8.31,753,211,0.016,0.106,1597,1053,FALSE
"16639",2016-08-14 20:07:00,6.9,0.16,8.31,753,211,0.016,0.106,1597,1055,FALSE
"16640",2016-08-14 20:08:00,6.9,0.16,8.31,753,211,0.016,0.108,1603,1057,FALSE
"16641",2016-08-14 20:09:00,6.9,0.16,8.31,753,211,0.016,0.106,1608,1054,FALSE
"16642",2016-08-14 20:10:00,6.9,0.16,8.31,752,211,0.016,0.108,1596,1055,FALSE
"16643",2016-08-14 20:11:00,6.9,0.17,8.31,753,211,0.017,0.106,1604,1053,FALSE
"16644",2016-08-14 20:12:00,6.9,0.16,8.31,752,211,0.017,0.106,1614,1052,FALSE
"16645",2016-08-14 20:13:00,6.9,0.17,8.32,753,211,0.016,0.106,1607,1063,FALSE
"16646",2016-08-14 20:14:00,6.9,0.17,8.32,752,211,0.016,0.106,1574,1053,FALSE
"16647",2016-08-14 20:15:00,6.9,0.17,8.32,752,211,0.016,0.106,1604,1052,FALSE
"16648",2016-08-14 20:16:00,6.9,0.17,8.33,752,211,0.016,0.106,1627,1054,FALSE
"16649",2016-08-14 20:17:00,6.9,0.17,8.33,751,211,0.019,0.106,1596,1053,FALSE
"16650",2016-08-14 20:18:00,6.9,0.17,8.33,752,211,0.016,0.106,1648,1060,FALSE
"16651",2016-08-14 20:19:00,6.9,0.17,8.33,752,211,0.016,0.106,1611,1063,FALSE
"16652",2016-08-14 20:20:00,6.9,0.17,8.34,752,211,0.016,0.106,1584,1060,FALSE
"16653",2016-08-14 20:21:00,6.9,0.17,8.34,752,211,0.016,0.106,1622,1054,FALSE
"16654",2016-08-14 20:22:00,6.9,0.17,8.34,752,211,0.016,0.106,1597,1053,FALSE
"16655",2016-08-14 20:23:00,6.9,0.17,8.34,752,211,0.016,0.106,1607,1054,FALSE
"16656",2016-08-14 20:24:00,6.9,0.17,8.34,752,211,0.016,0.105,1607,1053,FALSE
"16657",2016-08-14 20:25:00,6.9,0.17,8.35,751,211,0.016,0.106,1607,1055,FALSE
"16658",2016-08-14 20:26:00,6.9,0.17,8.35,751,211,0.016,0.105,1587,1059,FALSE
"16659",2016-08-14 20:27:00,6.9,0.17,8.34,751,211,0.016,0.105,1581,1057,FALSE
"16660",2016-08-14 20:28:00,6.9,0.17,8.35,751,211,0.016,0.104,1609,1055,FALSE
"16661",2016-08-14 20:29:00,6.9,0.17,8.35,751,207,0.016,0.105,1601,1063,FALSE
"16662",2016-08-14 20:30:00,6.9,0.17,8.35,751,207,0.016,0.105,1592,1049,FALSE
"16663",2016-08-14 20:31:00,6.9,0.17,8.34,752,207,0.016,0.104,1609,1060,FALSE
"16664",2016-08-14 20:32:00,6.9,0.17,8.34,751,207,0.016,0.105,1585,1049,FALSE
"16665",2016-08-14 20:33:00,6.9,0.17,8.34,752,207,0.016,0.104,1593,1054,FALSE
"16666",2016-08-14 20:34:00,6.9,0.17,8.35,751,207,0.016,0.104,1630,1053,FALSE
"16667",2016-08-14 20:35:00,6.9,0.17,8.34,751,207,0.016,0.105,1568,1057,FALSE
"16668",2016-08-14 20:36:00,6.9,0.16,8.34,751,207,0.016,0.105,1599,1063,FALSE
"16669",2016-08-14 20:37:00,6.9,0.16,8.34,751,207,0.016,0.104,1604,1060,FALSE
"16670",2016-08-14 20:38:00,6.9,0.16,8.34,751,207,0.016,0.104,1605,1055,FALSE
"16671",2016-08-14 20:39:00,6.9,0.16,8.34,752,207,0.016,0.105,1607,1048,FALSE
"16672",2016-08-14 20:40:00,6.9,0.17,8.34,752,207,0.016,0.105,1556,1055,FALSE
"16673",2016-08-14 20:41:00,6.9,0.17,8.34,752,207,0.016,0.105,1576,1054,FALSE
"16674",2016-08-14 20:42:00,6.9,0.17,8.33,752,207,0.016,0.105,1590,1057,FALSE
"16675",2016-08-14 20:43:00,7,0.17,8.33,752,211,0.016,0.105,1609,1054,FALSE
"16676",2016-08-14 20:44:00,6.9,0.17,8.33,751,211,0.016,0.105,1627,1060,FALSE
"16677",2016-08-14 20:45:00,6.9,0.16,8.33,751,211,0.015,0.106,1609,1053,FALSE
"16678",2016-08-14 20:46:00,6.9,0.17,8.33,752,211,0.016,0.106,1609,1053,FALSE
"16679",2016-08-14 20:47:00,6.9,0.17,8.33,752,207,0.016,0.106,1631,1048,FALSE
"16680",2016-08-14 20:48:00,6.9,0.17,8.33,752,211,0.016,0.106,1604,1053,FALSE
"16681",2016-08-14 20:49:00,6.9,0.17,8.33,752,211,0.016,0.106,1603,1049,FALSE
"16682",2016-08-14 20:50:00,6.9,0.17,8.32,751,211,0.016,0.106,1627,1054,FALSE
"16683",2016-08-14 20:51:00,6.9,0.17,8.32,752,211,0.016,0.106,1586,1053,FALSE
"16684",2016-08-14 20:52:00,6.9,0.17,8.32,751,211,0.016,0.106,1584,1053,FALSE
"16685",2016-08-14 20:53:00,6.9,0.17,8.32,753,211,0.016,0.106,1598,1047,FALSE
"16686",2016-08-14 20:54:00,6.9,0.17,8.32,752,211,0.016,0.108,1591,1055,FALSE
"16687",2016-08-14 20:55:00,6.9,0.17,8.32,752,211,0.016,0.106,1598,1048,FALSE
"16688",2016-08-14 20:56:00,6.9,0.17,8.32,753,211,0.017,0.108,1608,1054,FALSE
"16689",2016-08-14 20:57:00,6.9,0.18,8.32,753,211,0.024,0.108,1592,1049,FALSE
"16690",2016-08-14 20:58:00,6.9,0.18,8.32,753,211,0.015,0.106,1607,1055,FALSE
"16691",2016-08-14 20:59:00,6.9,0.17,8.32,751,211,0.016,0.106,1608,1055,FALSE
"16692",2016-08-14 21:00:00,6.9,0.17,8.32,751,211,0.016,0.108,1608,1052,FALSE
"16693",2016-08-14 21:01:00,6.9,0.17,8.32,752,211,0.016,0.106,1614,1048,FALSE
"16694",2016-08-14 21:02:00,6.9,0.17,8.32,751,211,0.015,0.106,1636,1054,FALSE
"16695",2016-08-14 21:03:00,6.9,0.17,8.32,752,211,0.015,0.106,1634,1055,FALSE
"16696",2016-08-14 21:04:00,6.9,0.17,8.32,752,211,0.015,0.106,1576,1053,FALSE
"16697",2016-08-14 21:05:00,6.9,0.17,8.33,753,207,0.015,0.106,1630,1060,FALSE
"16698",2016-08-14 21:06:00,6.9,0.17,8.34,751,211,0.015,0.106,1570,1054,FALSE
"16699",2016-08-14 21:07:00,6.9,0.17,8.34,752,207,0.016,0.106,1592,1055,FALSE
"16700",2016-08-14 21:08:00,6.9,0.17,8.34,751,211,0.015,0.106,1622,1059,FALSE
"16701",2016-08-14 21:09:00,6.9,0.17,8.34,751,211,0.017,0.106,1579,1059,FALSE
"16702",2016-08-14 21:10:00,6.9,0.17,8.34,751,207,0.016,0.106,1590,1055,FALSE
"16703",2016-08-14 21:11:00,6.9,0.17,8.34,751,207,0.016,0.105,1592,1055,FALSE
"16704",2016-08-14 21:12:00,6.9,0.17,8.35,751,207,0.016,0.105,1619,1052,FALSE
"16705",2016-08-14 21:13:00,6.9,0.17,8.36,751,211,0.015,0.105,1569,1055,FALSE
"16706",2016-08-14 21:14:00,6.9,0.17,8.37,751,211,0.016,0.106,1592,1054,FALSE
"16707",2016-08-14 21:15:00,6.9,0.16,8.37,751,211,0.016,0.106,1598,1047,FALSE
"16708",2016-08-14 21:16:00,6.9,0.17,8.38,751,211,0.015,0.105,1591,1055,FALSE
"16709",2016-08-14 21:17:00,6.9,0.16,8.39,751,211,0.015,0.106,1576,1052,FALSE
"16710",2016-08-14 21:18:00,6.9,0.16,8.38,751,211,0.016,0.106,1584,1055,FALSE
"16711",2016-08-14 21:19:00,6.9,0.17,8.39,751,211,0.016,0.105,1593,1060,FALSE
"16712",2016-08-14 21:20:00,6.9,0.17,8.39,751,211,0.016,0.106,1605,1054,FALSE
"16713",2016-08-14 21:21:00,6.9,0.17,8.39,751,211,0.015,0.106,1613,1054,FALSE
"16714",2016-08-14 21:22:00,6.9,0.17,8.39,751,211,0.015,0.106,1619,1053,FALSE
"16715",2016-08-14 21:23:00,6.9,0.17,8.39,751,211,0.015,0.106,1590,1055,FALSE
"16716",2016-08-14 21:24:00,6.9,0.17,8.39,751,211,0.015,0.106,1668,1049,FALSE
"16717",2016-08-14 21:25:00,6.9,0.17,8.39,751,211,0.015,0.106,1557,1054,FALSE
"16718",2016-08-14 21:26:00,6.9,0.17,8.39,751,210,0.016,0.106,1593,1054,FALSE
"16719",2016-08-14 21:27:00,6.9,0.17,8.39,751,211,0.015,0.108,1587,1049,FALSE
"16720",2016-08-14 21:28:00,6.9,0.17,8.39,751,211,0.015,0.108,1615,1049,FALSE
"16721",2016-08-14 21:29:00,6.9,0.17,8.39,751,211,0.016,0.106,1611,1054,FALSE
"16722",2016-08-14 21:30:00,6.9,0.17,8.39,751,211,0.016,0.108,1611,1048,FALSE
"16723",2016-08-14 21:31:00,6.9,0.17,8.39,751,211,0.016,0.108,1605,1052,FALSE
"16724",2016-08-14 21:32:00,6.9,0.17,8.38,751,210,0.027,0.109,1597,1054,FALSE
"16725",2016-08-14 21:33:00,6.9,0.17,8.38,752,210,0.021,0.109,1591,1054,FALSE
"16726",2016-08-14 21:34:00,6.9,0.17,8.38,751,211,0.021,0.11,1584,1052,FALSE
"16727",2016-08-14 21:35:00,6.9,0.18,8.38,752,211,0.023,0.11,1619,1049,FALSE
"16728",2016-08-14 21:36:00,6.9,0.17,8.37,752,211,0.02,0.11,1601,1043,FALSE
"16729",2016-08-14 21:37:00,6.9,0.17,8.37,752,210,0.02,0.109,1608,1048,FALSE
"16730",2016-08-14 21:38:00,6.9,0.17,8.36,752,210,0.021,0.11,1604,1052,FALSE
"16731",2016-08-14 21:39:00,6.9,0.17,8.36,752,210,0.02,0.109,1598,1049,FALSE
"16732",2016-08-14 21:40:00,6.9,0.17,8.36,752,211,0.02,0.11,1601,1055,FALSE
"16733",2016-08-14 21:41:00,6.9,0.17,8.35,753,211,0.022,0.11,1621,1049,FALSE
"16734",2016-08-14 21:42:00,6.9,0.17,8.35,752,210,0.021,0.11,1596,1043,FALSE
"16735",2016-08-14 21:43:00,6.9,0.17,8.35,752,210,0.02,0.111,1601,1052,FALSE
"16736",2016-08-14 21:44:00,6.9,0.17,8.34,753,210,0.02,0.11,1574,1060,FALSE
"16737",2016-08-14 21:45:00,6.9,0.17,8.33,753,210,0.02,0.11,1608,1059,FALSE
"16738",2016-08-14 21:46:00,6.9,0.17,8.33,754,210,0.02,0.111,1593,1052,FALSE
"16739",2016-08-14 21:47:00,6.9,0.17,8.32,754,210,0.02,0.11,1598,1048,FALSE
"16740",2016-08-14 21:48:00,6.9,0.17,8.32,753,211,0.021,0.11,1598,1054,FALSE
"16741",2016-08-14 21:49:00,6.9,0.17,8.32,753,210,0.021,0.11,1596,1055,FALSE
"16742",2016-08-14 21:50:00,6.9,0.17,8.31,753,211,0.021,0.111,1597,1055,FALSE
"16743",2016-08-14 21:51:00,6.9,0.17,8.31,753,210,0.02,0.111,1609,1053,FALSE
"16744",2016-08-14 21:52:00,6.9,0.17,8.31,753,210,0.02,0.111,1596,1055,FALSE
"16745",2016-08-14 21:53:00,6.9,0.17,8.31,754,211,0.02,0.113,1569,1057,FALSE
"16746",2016-08-14 21:54:00,6.9,0.17,8.31,754,210,0.02,0.113,1579,1048,FALSE
"16747",2016-08-14 21:55:00,6.9,0.17,8.3,752,207,0.02,0.113,1591,1054,FALSE
"16748",2016-08-14 21:56:00,6.9,0.17,8.3,754,210,0.021,0.111,1584,1059,FALSE
"16749",2016-08-14 21:57:00,6.9,0.17,8.31,754,210,0.021,0.113,1586,1054,FALSE
"16750",2016-08-14 21:58:00,6.9,0.17,8.3,754,210,0.02,0.114,1569,1055,FALSE
"16751",2016-08-14 21:59:00,6.9,0.17,8.3,754,211,0.021,0.114,1586,1053,FALSE
"16752",2016-08-14 22:00:00,6.9,0.17,8.3,754,211,0.02,0.114,1601,1052,FALSE
"16753",2016-08-14 22:01:00,6.9,0.17,8.3,754,211,0.02,0.114,1621,1047,FALSE
"16754",2016-08-14 22:02:00,6.9,0.18,8.3,754,211,0.034,0.113,1598,1049,FALSE
"16755",2016-08-14 22:03:00,6.9,0.18,8.3,754,210,0.023,0.113,1607,1053,FALSE
"16756",2016-08-14 22:04:00,6.9,0.18,8.3,754,211,0.02,0.114,1590,1046,FALSE
"16757",2016-08-14 22:05:00,6.9,0.18,8.3,753,210,0.023,0.114,1574,1041,FALSE
"16758",2016-08-14 22:06:00,6.9,0.17,8.3,754,211,0.021,0.114,1590,1049,FALSE
"16759",2016-08-14 22:07:00,6.9,0.17,8.3,754,211,0.021,0.114,1561,1054,FALSE
"16760",2016-08-14 22:08:00,6.9,0.17,8.29,754,210,0.023,0.114,1587,1052,FALSE
"16761",2016-08-14 22:09:00,6.9,0.17,8.29,755,211,0.02,0.114,1598,1054,FALSE
"16762",2016-08-14 22:10:00,6.9,0.17,8.29,754,210,0.02,0.114,1604,1048,FALSE
